评论内容,fenci,主题概率,主题类型
管家热情周到，服务没话说，民宿设计太适合少女们打卡拍照了，酒店一应俱全，关键还是宠物友好。还可以露营，白天出片，晚上还可以吹着小风聊着天，来长沙住到宝藏酒店，绝绝子。而且五一假期价格也很合适，不多说了，看图吧。提个小建议，如果卫生打扫的能更干净就好上加好啦！,管家 民宿 适合 少女 打卡 拍照 酒店 关键 宠物 友好 露营 出片 小风 聊着 酒店 价格 合适 看图 建议 卫生 打扫 干净,"[(1, 0.95986205)]",1
夏天的宝藏民宿！小红书看到这家，周末特意过来打开，果然不辜负此行，有下午茶有早餐，拍照真的很出片，随图附上，哈哈,民宿 打开 辜负 下午茶 早餐 拍照,"[(0, 0.010989811), (1, 0.010990119), (2, 0.8681208), (3, 0.010989923), (4, 0.010989778), (5, 0.010990178), (6, 0.010989904), (7, 0.010990035), (8, 0.010990023), (9, 0.0109898355), (10, 0.010989997), (11, 0.010989803), (12, 0.010989829)]",2
还是岳麓区这边的民宿适合室外活动，贴近自然，环境是闹市中的民宿比不上的，哪天下午不住宿也可以来单独做个烧烤,民宿 适合 贴近 环境 闹市 民宿 住宿 烧烤,"[(1, 0.8974303)]",1
泳池太适合夏天啦！民宿处处洋溢着夏天的味道，却没有一丝燥热的沉闷，阳光、清爽、活泼才是它的代名词！,泳池 适合 民宿 味道 燥热 沉闷 清爽 活泼 代名词,"[(0, 0.90768564)]",0
很的地方，周围不是什么闹市，适合周末小度假来放松，房间打扫也仔细，有下午茶和早餐,地方 闹市 适合 度假 放松 房间 打扫 仔细 下午茶 早餐,"[(3, 0.6171699), (5, 0.30590102)]",3
下午还是忍不住淋雨下了会水，管家小哥哥很贴心，熬了红糖姜茶，第二天雨过天晴，心情真好,忍不住 淋雨 会水 管家 贴心 红糖 心情,"[(9, 0.8846024)]",9
服务场地体验感都非常棒！我们玩到有点晚，谢谢小哥哥等我们啦，暑假肯定还要再来几次,体验 肯定,"[(0, 0.025641972), (1, 0.025642), (2, 0.025642226), (3, 0.692294), (4, 0.025642142), (5, 0.025642024), (6, 0.025641883), (7, 0.025641967), (8, 0.025642022), (9, 0.02564245), (10, 0.025642402), (11, 0.025642432), (12, 0.025642436)]",3
舒服的下午，收获满满的快乐 民宿很有设计感，后面的露营场天幕氛围感拉满,舒服 收获 快乐 民宿 露营 天幕 氛围,"[(9, 0.8846032)]",9
民宿很有设计感，泳池氛围很好，另外点名表扬下午的烧烤，味道不错,民宿 泳池 氛围 点名 表扬 烧烤 味道 不错,"[(0, 0.24247487), (7, 0.6634959)]",7
房间风格比较简单，泳池边直通的房间有特色些，主要场地比较合适搞团建,房间 风格 泳池 直通 房间 特色 合适 团建,"[(2, 0.8974271)]",2
夏天的好去处，老板的设计很有品味，推荐来打卡，老板生意兴隆！,老板 品味 推荐 打卡 老板,"[(0, 0.012820982), (1, 0.012820937), (2, 0.012820873), (3, 0.84614885), (4, 0.012820803), (5, 0.012820826), (6, 0.012820855), (7, 0.012820938), (8, 0.012820827), (9, 0.012821326), (10, 0.012820948), (11, 0.012820841), (12, 0.01282099)]",3
民宿氛围满满，那就假装在度假吧 服务卫生都很好，点赞滴滴小管家。,民宿 氛围 满满 假装 度假 卫生 滴滴 管家,"[(5, 0.8974293)]",5
大人还好，小朋友玩的很开心，吃的东西也还可以，性价比很高。崽崽说等夏天来了，还要来玩，想游泳，特别想去游泳，只是这个天气水有点凉。,大人 还好 小朋友 开心 性价比 崽崽说 天气,"[(10, 0.88460666)]",10
小朋友的热情，是下大雨都挡不住的，哈哈哈,小朋友 热情 大雨 挡不住,"[(0, 0.015385678), (1, 0.015385844), (2, 0.015385719), (3, 0.015385729), (4, 0.015385671), (5, 0.015385702), (6, 0.015385712), (7, 0.015385749), (8, 0.015385671), (9, 0.0153857), (10, 0.015385782), (11, 0.81537133), (12, 0.015385671)]",11
收藏夏天的感觉，又遇到一家的民宿,收藏 感觉 民宿,"[(0, 0.019232081), (1, 0.019232053), (2, 0.019231778), (3, 0.019231891), (4, 0.7692164), (5, 0.019232124), (6, 0.019231617), (7, 0.01923214), (8, 0.019232042), (9, 0.019231956), (10, 0.019232105), (11, 0.01923191), (12, 0.019231917)]",4
住的很舒适～环境非常棒，服务也很好,舒适 环境,"[(0, 0.0256414), (1, 0.025641592), (2, 0.025641212), (3, 0.025641257), (4, 0.69230247), (5, 0.025641348), (6, 0.025641302), (7, 0.02564137), (8, 0.02564266), (9, 0.02564132), (10, 0.025641317), (11, 0.025641251), (12, 0.025641512)]",4
不错了，环境服务也好，可以过来试试,不错 环境,"[(0, 0.025641697), (1, 0.025641844), (2, 0.02564121), (3, 0.025641266), (4, 0.025642015), (5, 0.025641356), (6, 0.69230205), (7, 0.025641393), (8, 0.025641732), (9, 0.025641302), (10, 0.025641523), (11, 0.025641356), (12, 0.025641263)]",6
休息地很好，服务很棒，下次再见呐,休息 很棒 再见,"[(0, 0.019231658), (1, 0.019231686), (2, 0.019231651), (3, 0.019231832), (4, 0.7692196), (5, 0.01923166), (6, 0.019231627), (7, 0.019231679), (8, 0.019231876), (9, 0.01923165), (10, 0.019231725), (11, 0.019231627), (12, 0.019231787)]",4
房间不错，泳池也很舒服，五星好评,房间 不错 泳池 舒服 好评,"[(0, 0.012821168), (1, 0.012821), (2, 0.012820964), (3, 0.012821031), (4, 0.012820995), (5, 0.012820963), (6, 0.0128210755), (7, 0.012821034), (8, 0.846148), (9, 0.012820925), (10, 0.012820969), (11, 0.012820937), (12, 0.012820912)]",8
夏天该有的样子呀，我找到啦！,样子,"[(0, 0.03846508), (1, 0.03846508), (2, 0.03846528), (3, 0.03846508), (4, 0.03846508), (5, 0.03846508), (6, 0.03846508), (7, 0.03846508), (8, 0.038466357), (9, 0.03846508), (10, 0.03846508), (11, 0.03846508), (12, 0.5384175)]",12
房间很干净舒服。一出来就是泳池！下午茶很不错！周围环境都很好，随便拍都很好看！很适合三五朋友小聚。不错,房间 干净 舒服 泳池 下午茶 不错 好看 适合 朋友 不错,"[(6, 0.9160802)]",6
民宿设计很好，晚霞也很美,民宿 晚霞 很美,"[(0, 0.019232815), (1, 0.019232992), (2, 0.019232962), (3, 0.019233014), (4, 0.019232849), (5, 0.019232815), (6, 0.019232795), (7, 0.019232819), (8, 0.7692052), (9, 0.019232994), (10, 0.019232882), (11, 0.019232873), (12, 0.01923296)]",8
该说不说的比我住的300的酒店还要差，房间小，脏就不说了但是你既然定价在1000，你就应该有1000的配置，桌子也没有，就一个椅子，包包都没地方放，浴缸也很脏的水还不热，总之，这次真的住的很差劲，规定12点退房就必须12点，一点点空间都没有，我们着急忙慌的赶紧起来退房，就怕耽误了时间，唉真的是绝了,酒店 房间 定价 配置 桌子 椅子 包包 地方 浴缸 很脏 不热 差劲 退房 空间 退房 耽误 时间 是绝,"[(7, 0.9514089)]",7
夏天带着我家娃出来避暑，孩子在泳池玩了一下午，吃了晚餐又拉着工作人员给他开游戏机，不知道我家娃精力怎么这么好！我也休息地很好，这边环境不错也很安静,避暑 孩子 泳池 晚餐 工作人员 游戏机 精力 休息 环境 不错,"[(8, 0.9160757)]",8
下午管家在泳池旁帮我们准备了下午茶，晚餐过后又送来了水果点心，第二天早上的早餐也很精致，整个体验都很好,管家 泳池 下午茶 晚餐 送来 水果 点心 早餐 精致 体验,"[(5, 0.9160799)]",5
很出片的酒店，有、烧烤架、街机，遗憾去的时间恒温泳池去不了，室外泳池又太冷，夏天去的话应该更开心吧？,酒店 烧烤 街机 遗憾 时间 泳池 泳池 开心,"[(1, 0.89742947)]",1
双人下午茶:这个下午茶很好吃，环境也很不错 很多人过来拍照打卡，昨晚一间民宿做的挺不错了,双人 下午茶 下午茶 好吃 环境 不错 拍照 打卡 民宿,"[(1, 0.53384024), (6, 0.38154033)]",1
环境很好，位置方便，卫生干净，房间精致，下次来长沙还会选择这家酒店,环境 位置 卫生 干净 房间 精致 选择 酒店,"[(5, 0.8974331)]",5
民宿卫生打扫都还比较认真，可能是建筑都是白色，加上开业不久都很新,民宿 卫生 打扫 建筑 白色 开业,"[(0, 0.010989833), (1, 0.010989899), (2, 0.010989883), (3, 0.8681219), (4, 0.010989773), (5, 0.010989894), (6, 0.010989797), (7, 0.010989918), (8, 0.010989839), (9, 0.010989817), (10, 0.010989799), (11, 0.010989836), (12, 0.010989803)]",3
环境优美，服务热情，房间卫生床品都很干净，总体很棒！,环境优美 热情 房间 卫生 床品 干净 总体 很棒,"[(7, 0.897432)]",7
老板非常好，住宿体验非常棒，服务绝对可以！下次肯定会打卡！,老板 住宿 体验 肯定 打卡,"[(0, 0.012821124), (1, 0.012821096), (2, 0.012821057), (3, 0.846147), (4, 0.012820978), (5, 0.012820969), (6, 0.012820971), (7, 0.012821111), (8, 0.0128210485), (9, 0.012821176), (10, 0.01282113), (11, 0.012821176), (12, 0.012821168)]",3
这是我在长沙住的比较舒服的一个酒店  也很方便,舒服 酒店,"[(0, 0.025641644), (1, 0.69230187), (2, 0.02564128), (3, 0.025641354), (4, 0.025641223), (5, 0.0256415), (6, 0.02564158), (7, 0.025641555), (8, 0.025641738), (9, 0.025641391), (10, 0.0256417), (11, 0.025641853), (12, 0.025641305)]",1
环境：一级棒，楼上楼下有两个泳池（不过现在楼上的晚上才开放）室内室外，楼上楼下都有休息区域，坐哪都很惬意 服务：管家很热情，有问题都及时解决，晚上陪我们小酌了两杯，聊聊天，另一位小哥哥新入职的腼腆些，但碰到我们也十分热情地打招呼 设施：房间配备了投影仪、冰箱、洗衣机、浴缸、智能马桶、洗漱用品，因为是新民宿，设备都很新，整体风格也很整洁大方 卫生：床品很舒服，墙体和地砖都是米白色，所以很容易一眼就能看出地面很干净，房间香氛味道很淡很好闻,环境 楼上楼下 泳池 开放 楼上楼下 休息 区域 惬意 管家 热情 解决 入职 腼腆 碰到 热情 打招呼 设施 房间 配备 投影仪 冰箱 洗衣机 浴缸 智能 马桶 洗漱 用品 民宿 整体 风格 整洁 大方 卫生 床品 舒服 墙体 地砖 白色 地面 干净 房间 香氛 味道 很淡 好闻,"[(1, 0.9799311)]",1
很不错的入住体验 工作人员态度也很好,不错 入住 体验 工作人员 态度,"[(0, 0.012821277), (1, 0.012821184), (2, 0.84614486), (3, 0.012821188), (4, 0.012821199), (5, 0.012821181), (6, 0.012821627), (7, 0.012821087), (8, 0.012821407), (9, 0.012821239), (10, 0.012821342), (11, 0.012821173), (12, 0.012821237)]",2
房间卫生打扫的很仔细，床品也很舒服,房间 卫生 打扫 仔细 床品 舒服,"[(0, 0.01098969), (1, 0.010989727), (2, 0.010989689), (3, 0.010989923), (4, 0.010989633), (5, 0.010989685), (6, 0.01098968), (7, 0.8681235), (8, 0.010989737), (9, 0.010989667), (10, 0.010989703), (11, 0.010989692), (12, 0.010989648)]",7
卫生干净 环境好 服务态度很好,卫生 干净 环境 服务态度,"[(0, 0.015385051), (1, 0.015385192), (2, 0.015384958), (3, 0.015384876), (4, 0.01538511), (5, 0.81537974), (6, 0.015384995), (7, 0.015385269), (8, 0.0153851025), (9, 0.015384886), (10, 0.015384943), (11, 0.015384934), (12, 0.015384939)]",5
体验感很好  老板人也很好,体验 老板,"[(0, 0.02564168), (1, 0.025641346), (2, 0.02564163), (3, 0.02564177), (4, 0.025641242), (5, 0.02564141), (6, 0.025641264), (7, 0.025641583), (8, 0.025641361), (9, 0.6923019), (10, 0.025641738), (11, 0.025641367), (12, 0.025641652)]",9
不错哈～适合拍照,不错 适合 拍照,"[(0, 0.019231092), (1, 0.019231109), (2, 0.019231021), (3, 0.019231047), (4, 0.019231055), (5, 0.019231189), (6, 0.019231327), (7, 0.019231096), (8, 0.019231247), (9, 0.01923113), (10, 0.76922655), (11, 0.019231051), (12, 0.019231066)]",10
公寓很新，冰箱洗衣机齐全，设备都很新，带一个很大的飘窗很喜欢，楼下有便利店（有只可爱猫猫），公交方便，离地铁口稍远但是胜在安静，门口就有共享电动车很方便，仅一个小小的不足，厕所排气扇可能需要完善一下，水渍有些难干，其他都很不错,公寓 冰箱 洗衣机 很大 飘窗 喜欢 便利店 可爱 猫猫 公交 地铁口 共享 电动车 厕所 排气扇 完善 水渍 不错,"[(2, 0.9514119)]",2
设施一般，拖鞋就一双，进公寓比较麻烦，得刷电梯卡，住下来电梯卡还没有住的楼层权限！离橘子洲很近，周边没什么吃的配套一般般，布局很拥挤，有限的地方还放个沙发路都走不开，房间里面衣架都舍不得放，衣服都没地方挂,设施 拖鞋 公寓 麻烦 得刷 电梯 电梯 楼层 权限 配套 布局 拥挤 有限 地方 走不开 房间 衣架 舍不得 衣服 地方,"[(7, 0.9560373)]",7
设施：酒店设施非常完善 洗衣机之类的都有 卫生：卫生也非常整洁 服务：服务非常好,设施 酒店设施 完善 洗衣机 卫生 卫生 整洁,"[(7, 0.88460517)]",7
公寓很新挺干净，周围环境不错，就是离地铁口步行有点远，但是有公交车两站路就能到一个地铁口，去哪里都很方便，还贴心的配了多头充电器，电视是投屏的，很大很清楚，满意满意,公寓 干净 不错 地铁口 步行 公交车 地铁口 贴心 充电器 电视 投屏 很大 满意 满意,"[(6, 0.9384587)]",6
入住感受很不错所以定了四晚之后又续订了~又是新开业的酒店 环境卫生没的说顶呱呱,入住 感受 不错 续订 酒店 环境卫生,"[(0, 0.010989811), (1, 0.010989843), (2, 0.010989828), (3, 0.010989773), (4, 0.010989995), (5, 0.010989783), (6, 0.010989802), (7, 0.010989804), (8, 0.86812204), (9, 0.010989766), (10, 0.010989811), (11, 0.01098989), (12, 0.010989867)]",8
环境很好，卫生很干净，有衣帽间的洗衣机冰箱，推荐入住,环境 卫生 干净 衣帽间 洗衣机 冰箱 推荐 入住,"[(5, 0.89743227)]",5
前台小姐姐人非常好，非常有耐心，房间也很干净,前台 耐心 房间 干净,"[(0, 0.015385101), (1, 0.81537795), (2, 0.015385186), (3, 0.015385227), (4, 0.015385035), (5, 0.015385152), (6, 0.015385149), (7, 0.015385309), (8, 0.015385336), (9, 0.015385155), (10, 0.015385093), (11, 0.015385155), (12, 0.0153851975)]",1
房间很干净哦，前台小姐姐也很热情，性价比挺高的，下次还来,房间 干净 前台 热情 性价比,"[(0, 0.012820768), (1, 0.01282104), (2, 0.0128208995), (3, 0.012820869), (4, 0.012820759), (5, 0.012820836), (6, 0.012820899), (7, 0.84614956), (8, 0.0128208), (9, 0.012820859), (10, 0.012820848), (11, 0.012820938), (12, 0.012820862)]",7
刚装修完没多久吧，东西都很新，设施很齐全，环境布置也感觉很温馨。酒店的管理模式很像年轻人的做法哈哈。就是希望被子的被套能选择稍微好一点点的布料，这个材质的布料对于一部分人来说可能会有点点过敏。,装修 设施 环境 布置 感觉 酒店 年轻人 做法 希望 被子 被套 选择 布料 材质 布料 点点,"[(1, 0.9456956)]",1
公寓挺新挺好的就是距离地铁站有点距离，环境啥的都不错还有投影，我觉得要改进的应该是那个厕所干湿分离不够具体，导致厕所或洗漱时候地下每次都一瘫水，可能是那个抽风机不够给力吧，还有那个上下电梯还是需要配房卡的吧，经常上上下下老是麻烦保安有点不好意思的,公寓 距离 地铁站 距离 环境 不错 投影 改进 厕所 干湿 分离 导致 厕所 洗漱 瘫水 电梯 房卡 麻烦 不好意思,"[(2, 0.95384175)]",2
房间非常好 棒棒,房间 棒棒,"[(0, 0.025642242), (1, 0.025642011), (2, 0.025642114), (3, 0.025642091), (4, 0.025641927), (5, 0.025641983), (6, 0.025641976), (7, 0.025642218), (8, 0.02564217), (9, 0.025642203), (10, 0.02564195), (11, 0.02564201), (12, 0.69229513)]",12
麻雀虽小 五脏俱全 冰箱 洗衣机 都有 民宿也是新装修的 适合长时间入住或月租 唯一缺点就是浴室排水 一洗澡 整个浴室都是水来不及排 停车过夜赠送免费停车券一张,冰箱 洗衣机 民宿 适合 入住 月租 缺点 浴室 排水 洗澡 浴室 停车 赠送 停车,"[(7, 0.938455)]",7
设施：设施很齐全卫生：卫生也好不错.就是床单有点脏环境：环境很好.就是离地铁口有点远服务：服务很好.小姐姐都有再耐心解决我们的问题 。,设施 设施 卫生 卫生 不错 床单 环境 环境 地铁口 耐心 解决,"[(1, 0.9230722)]",1
设施好，环境好，服务不错。虽然是按民宿定位，但是是公寓配置，含冰箱洗衣机油烟机。建议老板把服务总台规范化、标准化，回头客会更多。,设施 环境 不错 民宿 定位 公寓 配置 冰箱 洗衣机 油烟机 建议 老板 总台 规范化 回头客,"[(10, 0.94230354)]",10
环境很不错，而且老板娘很亲切，房子也打扫得干干净净，一开始不知道财经怎么走，老板娘很耐心跟我说路线，而且房间的隔音非常好，这次入住真的很满意,环境 不错 老板娘 亲切 房子 打扫 财经 老板娘 耐心 路线 房间 隔音 入住 满意,"[(8, 0.938457)]",8
卫生：干净整洁，当时去的时候新房的味道还比较大 环境：周围的环境都很不错，当时去的时候是下雨，隔着窗台看雨很舒服 服务：服务周到，用短信联系,卫生 干净 整洁 新房 味道 环境 环境 不错 下雨 窗台 舒服 短信,"[(1, 0.9289884)]",1
首先说两个前提 第一长沙作为一个常年多雨的城市 是非常潮湿的 如果乍一去肯定不习惯 第二河东作为老城相对河西要繁华 但同时也比较吵 长沙时光小筑 地处河西梅溪湖附近 近岳麓山 橘子洲 属于公寓里的民宿 每一间房都比较干净 干爽 建筑格局注定了 良好的通风 没有传统经济型酒店黏糊糊的潮湿感 其次因地理位置 房间多为南向和北向房 安静 有山景 管家也比较热情 服务态度很好,前提 潮湿 肯定 习惯 老城 繁华 时光 小筑 公寓 民宿 干净 干爽 建筑 格局 注定 通风 传统 经济型 酒店 黏糊糊 潮湿 地理位置 房间 山景 管家 热情 服务态度,"[(11, 0.9670308)]",11
酒店位于梅溪湖，周边环境很不错，离商圈也比较近，交通也还比较便利，说是酒店其实是一个价格很亲民的民宿。,酒店 位于 不错 商圈 交通 便利 酒店 价格 亲民 民宿,"[(7, 0.91607773)]",7
设施：进出走消防电梯，不方便 卫生：床上都是绒毛 环境：没啥好的 服务：前台没人情味，服务一般,设施 进出 消防电梯 卫生 床上 绒毛 环境 前台 人情味,"[(1, 0.9076828)]",1
住的很舒适  环境很好  很安静  管家小姐姐免费给我升级了  升了个看湖的房间    卫生真的很干净    是商务风格  房间配备洗衣机  冰箱  很适合出差或者旅游的人   房间里有投影仪也适合情侣一起看电影   出行也方便  楼下就有公交车站  地铁站走路几分钟也到了   小姐姐服务也很热情   有问必答   楼下有门禁要打电话给前台接但是不影响居住  楼下保安  小姐姐说24小时值班  这个表示这个酒店很安全   也非常适合小姐妹一起过来旅游居住,舒适 环境 管家 房间 卫生 干净 商务 风格 房间 配备 洗衣机 冰箱 适合 出差 房间 投影仪 适合 情侣 电影 出行 公交车站 地铁站 走路 热情 门禁 前台 居住 小时 值班 酒店 姐妹 居住,"[(5, 0.9720266)]",5
酒店环境很好 沉浸感很强 可能因为是新公寓楼所以早上被装修吵醒 但是总体来说很舒适 离岳麓山也挺近.,酒店 环境 沉浸 公寓楼 装修 吵醒 总体 舒适,"[(1, 0.8974255)]",1
公寓很新，无异味，离地铁站步行20分钟，有一丢丢远，总的来说性价比挺高的～,公寓 异味 地铁站 步行 性价比,"[(0, 0.012821003), (1, 0.012821025), (2, 0.8461471), (3, 0.012821074), (4, 0.012821064), (5, 0.012821018), (6, 0.012821185), (7, 0.012821156), (8, 0.012821016), (9, 0.012821049), (10, 0.012821166), (11, 0.012821033), (12, 0.012821139)]",2
还可以哦，就是有点难找，其他都还好，环境干净整洁，在长沙算是很便宜的酒店了,还好 环境 干净 整洁 算是 便宜 酒店,"[(1, 0.8846049)]",1
设施：都很齐全 环境：环境也很好 卫生：卫生很干净 服务：小姐姐服务态度很好,设施 环境 环境 卫生 卫生 干净 服务态度,"[(1, 0.37022743), (7, 0.5240008)]",7
超级好的酒店，干净，舒适，大厅楼道都干净整洁。以后有机会来长沙还会选择这家,酒店 干净 舒适 大厅 楼道 干净 整洁 机会 选择,"[(8, 0.9076881)]",8
房间挺新的，干净，设备齐全，前台小妹妹热情好客，不错，推荐入住,房间 干净 前台 不错 推荐 入住,"[(0, 0.010989278), (1, 0.010989572), (2, 0.010989314), (3, 0.010989247), (4, 0.010989249), (5, 0.010989283), (6, 0.010989449), (7, 0.010989344), (8, 0.010989331), (9, 0.01098936), (10, 0.010989296), (11, 0.010989334), (12, 0.86812794)]",12
这家属于那种第二次来长沙还是会首选的民宿。真心值得推荐,首选 民宿 值得 推荐,"[(0, 0.015385162), (1, 0.81537604), (2, 0.015385297), (3, 0.015385434), (4, 0.0153852), (5, 0.015385288), (6, 0.015385197), (7, 0.0153852785), (8, 0.015385219), (9, 0.015385484), (10, 0.015385513), (11, 0.015385364), (12, 0.0153855095)]",1
厕所有点臭，不通风，别的都还好，投影仪没有会员，只能手机投屏,厕所 通风 还好 投影仪 会员 只能 手机 投屏,"[(12, 0.89742535)]",12
临时定的酒店，像公寓式。房间虽然不大，但该有的也都有，卫生干净,酒店 公寓式 房间 卫生 干净,"[(0, 0.012821279), (1, 0.01282142), (2, 0.012821324), (3, 0.012821256), (4, 0.012821219), (5, 0.01282137), (6, 0.012821295), (7, 0.8461443), (8, 0.012821333), (9, 0.012821277), (10, 0.012821242), (11, 0.012821368), (12, 0.012821268)]",7
房间空调效果太差了，开一晚上没一点用，其他的都很棒！,房间 空调 效果 很棒,"[(0, 0.015385249), (1, 0.015385228), (2, 0.015385245), (3, 0.0153854545), (4, 0.015385218), (5, 0.01538523), (6, 0.015385163), (7, 0.01538527), (8, 0.015385301), (9, 0.015385234), (10, 0.015385169), (11, 0.015385171), (12, 0.815377)]",12
设施：很完善 卫生：很干净 环境：很舒服 服务：很周到,设施 完善 卫生 干净 环境 舒服 周到,"[(1, 0.8846096)]",1
服务非常好，卫生很干净，房间很喜欢，地理位置很好,卫生 干净 房间 喜欢 地理位置,"[(0, 0.012821185), (1, 0.012821121), (2, 0.012821147), (3, 0.01282113), (4, 0.012820879), (5, 0.012821122), (6, 0.0128211025), (7, 0.8461467), (8, 0.012821056), (9, 0.0128213875), (10, 0.012821003), (11, 0.012821209), (12, 0.012820928)]",7
环境：可以服务：可以卫生：可以设施：可以,环境 卫生 设施,"[(0, 0.019231118), (1, 0.76922745), (2, 0.019231046), (3, 0.01923098), (4, 0.019231036), (5, 0.019231133), (6, 0.019230997), (7, 0.019231379), (8, 0.019231044), (9, 0.019230964), (10, 0.019231018), (11, 0.019230938), (12, 0.019230926)]",1
房间整洁，位置好找，服务态度很好,房间 整洁 位置 好找 服务态度,"[(0, 0.01282082), (1, 0.012820809), (2, 0.01282086), (3, 0.012820812), (4, 0.01282082), (5, 0.012820945), (6, 0.012820796), (7, 0.012820886), (8, 0.84614974), (9, 0.012820841), (10, 0.012820872), (11, 0.012820874), (12, 0.0128209125)]",8
很好，服务到位。下次还来，值得推荐,服务到位 值得 推荐,"[(0, 0.019231234), (1, 0.019231364), (2, 0.01923131), (3, 0.019231457), (4, 0.019231271), (5, 0.01923133), (6, 0.01923129), (7, 0.019231388), (8, 0.01923123), (9, 0.019231522), (10, 0.76922345), (11, 0.019231271), (12, 0.01923189)]",10
非常好，空间很大，第二次入住了,空间 很大 入住,"[(0, 0.019231375), (1, 0.019231299), (2, 0.019231409), (3, 0.019231286), (4, 0.019231362), (5, 0.019231332), (6, 0.019231258), (7, 0.7692237), (8, 0.01923139), (9, 0.01923147), (10, 0.019231254), (11, 0.019231314), (12, 0.019231595)]",7
环境舒适，性价比高，下次还来,环境 舒适 性价比,"[(0, 0.019231303), (1, 0.019231433), (2, 0.019231366), (3, 0.019231299), (4, 0.76922286), (5, 0.019231278), (6, 0.019231707), (7, 0.01923162), (8, 0.01923151), (9, 0.019231265), (10, 0.019231554), (11, 0.019231234), (12, 0.019231584)]",4
设施：比较新环境：挺好,设施 环境,"[(0, 0.025641592), (1, 0.69230396), (2, 0.025641244), (3, 0.025641274), (4, 0.025641514), (5, 0.025641274), (6, 0.025641287), (7, 0.025641378), (8, 0.025641408), (9, 0.025641246), (10, 0.025641376), (11, 0.02564125), (12, 0.025641179)]",1
很干净，也很安静，推荐住宿,干净 推荐 住宿,"[(0, 0.019231152), (1, 0.019231256), (2, 0.019231211), (3, 0.019231217), (4, 0.019231109), (5, 0.01923121), (6, 0.019231237), (7, 0.7692252), (8, 0.019231176), (9, 0.019231409), (10, 0.019231202), (11, 0.01923132), (12, 0.019231329)]",7
很赞 确实不错，经常住环境好,确实 不错 环境,"[(0, 0.019231409), (1, 0.019231336), (2, 0.019231264), (3, 0.019231407), (4, 0.76922303), (5, 0.019231256), (6, 0.019231822), (7, 0.019231245), (8, 0.019231627), (9, 0.019231327), (10, 0.019231535), (11, 0.019231409), (12, 0.019231297)]",4
房间干净、宽敞！很舒服！,房间 干净 宽敞 舒服,"[(0, 0.015385335), (1, 0.015385195), (2, 0.015385195), (3, 0.015385125), (4, 0.015385128), (5, 0.015385145), (6, 0.8153775), (7, 0.015385354), (8, 0.015385302), (9, 0.015385259), (10, 0.015385138), (11, 0.01538518), (12, 0.015385177)]",6
干净卫生，服务也很及时,干净 卫生,"[(0, 0.0256413), (1, 0.025641527), (2, 0.025641568), (3, 0.025641289), (4, 0.025641203), (5, 0.6923031), (6, 0.025641542), (7, 0.025641693), (8, 0.025641432), (9, 0.02564138), (10, 0.025641244), (11, 0.025641374), (12, 0.025641378)]",5
环境特别好 ，服务也很好,环境,"[(0, 0.038462475), (1, 0.53845453), (2, 0.03846176), (3, 0.03846185), (4, 0.03846301), (5, 0.038462), (6, 0.038462162), (7, 0.03846208), (8, 0.038462445), (9, 0.038461838), (10, 0.03846211), (11, 0.038461942), (12, 0.038461804)]",1
很好的地方客服人很好,很好 地方 客服,"[(0, 0.019232025), (1, 0.019232152), (2, 0.019232178), (3, 0.019232396), (4, 0.0192321), (5, 0.019232307), (6, 0.019232318), (7, 0.019232076), (8, 0.76921403), (9, 0.019232057), (10, 0.019232111), (11, 0.019232053), (12, 0.019232178)]",8
房间很新 性价比很高,房间 性价比,"[(0, 0.025641564), (1, 0.025641557), (2, 0.025641723), (3, 0.02564163), (4, 0.025641585), (5, 0.0256415), (6, 0.025642622), (7, 0.69229954), (8, 0.025641674), (9, 0.025641564), (10, 0.025641738), (11, 0.025641518), (12, 0.025641773)]",7
干净又安静，位置好找,干净 位置 好找,"[(0, 0.01923118), (1, 0.019231247), (2, 0.019231323), (3, 0.019231165), (4, 0.019231169), (5, 0.01923146), (6, 0.019231303), (7, 0.019231284), (8, 0.76922446), (9, 0.019231282), (10, 0.019231265), (11, 0.0192315), (12, 0.019231353)]",8
好好好，又便宜又舒服,便宜 舒服,"[(0, 0.025642827), (1, 0.025642741), (2, 0.025641993), (3, 0.6922894), (4, 0.025641944), (5, 0.02564251), (6, 0.025642741), (7, 0.025642512), (8, 0.025642946), (9, 0.025642408), (10, 0.025643026), (11, 0.025642801), (12, 0.025642134)]",3
赠送免费停车券一张,赠送 停车,"[(0, 0.025642766), (1, 0.02564279), (2, 0.025642753), (3, 0.025642708), (4, 0.025642708), (5, 0.025643071), (6, 0.025642708), (7, 0.025642937), (8, 0.025642747), (9, 0.025642708), (10, 0.6922867), (11, 0.025642708), (12, 0.02564275)]",10
房间很大，服务一般,房间 很大,"[(0, 0.025641548), (1, 0.025641568), (2, 0.025641557), (3, 0.025641546), (4, 0.025641482), (5, 0.025641428), (6, 0.025641497), (7, 0.69230163), (8, 0.025641646), (9, 0.025641736), (10, 0.025641404), (11, 0.025641443), (12, 0.025641533)]",7
房间真心不错强力推荐,房间 不错 强力 推荐,"[(0, 0.015385416), (1, 0.015385345), (2, 0.0153853595), (3, 0.015385372), (4, 0.01538538), (5, 0.015385322), (6, 0.015385781), (7, 0.015385398), (8, 0.015385501), (9, 0.015385494), (10, 0.015385501), (11, 0.015385387), (12, 0.81537473)]",12
