评论,fenci,情感分类,主题概率,主题类型
很好，很实用，值得购买。,实用 值得 购买,pos,"[(0, 0.78990734), (1, 0.042798843), (2, 0.041893076), (3, 0.04177718), (4, 0.041700155), (5, 0.041923404)]",0
书的逻辑很清晰，是零基础学 的合适教程,逻辑 清晰 基础 合适 教程,pos,"[(0, 0.028005024), (1, 0.027882546), (2, 0.8604875), (3, 0.027907483), (4, 0.027883712), (5, 0.027833695)]",2
图书质量很好，非常不错！,图书 质量 不错,pos,"[(0, 0.7904258), (1, 0.041916903), (2, 0.042148124), (3, 0.041822113), (4, 0.041865643), (5, 0.0418214)]",0
不错很新的书看看,不错,pos,"[(0, 0.084022865), (1, 0.08357743), (2, 0.5812963), (3, 0.083804235), (4, 0.08382543), (5, 0.08347369)]",2
好评，快递速度很快，昨晚下单，今天就到了，书文字清晰，纸质很好，内容待品。,好评 快递 速度 很快 昨晚 下单 文字 清晰 纸质 内容 待品,pos,"[(0, 0.18633887), (1, 0.014047711), (2, 0.16148882), (3, 0.013941543), (4, 0.6101883), (5, 0.013994738)]",4
书很不错,不错,pos,"[(0, 0.08402662), (1, 0.08357716), (2, 0.58130425), (3, 0.08379992), (4, 0.08381848), (5, 0.08347358)]",2
一直在京东买书，很实惠，这次双十一又买了好多，京东很棒,京东 实惠 双十 好多 京东 很棒,pos,"[(0, 0.24532588), (1, 0.023961242), (2, 0.6590459), (3, 0.023888376), (4, 0.023898724), (5, 0.023879865)]",2
双11搞活动的时候买的，第二天就到了，内容大致翻了下，是我想要的，非常棒！,活动 第二天 内容 想要,pos,"[(0, 0.033708695), (1, 0.83248323), (2, 0.033587456), (3, 0.03335996), (4, 0.033438772), (5, 0.03342187)]",1
刚接触机器学习非常推荐大家使用这本书,接触 机器 学习 推荐 本书,pos,"[(0, 0.8602916), (1, 0.028004214), (2, 0.027993506), (3, 0.027851898), (4, 0.028027028), (5, 0.02783178)]",0
塑封包装，印刷质量不错，与书店的一致，价格便宜很多。,塑封 包装 印刷 质量 不错 书店 价格便宜,pos,"[(0, 0.5277612), (1, 0.21871768), (2, 0.0209781), (3, 0.19069345), (4, 0.020959461), (5, 0.02089008)]",0
很有用，平时作为工具书还是很实用的，每天翻翻看，能学到很多东西,有用 平时 工具书 实用 翻翻看 学到 东西,pos,"[(0, 0.02092663), (1, 0.70371777), (2, 0.21248582), (3, 0.020950751), (4, 0.02103337), (5, 0.020885646)]",1
很不错，双十一活动很优惠，到货速度很快,不错 双十 活动 优惠 到货 速度 很快,pos,"[(0, 0.4883269), (1, 0.02108365), (2, 0.42773265), (3, 0.020909155), (4, 0.02094667), (5, 0.021000952)]",0
非常不错，是正版的  我很喜欢。,不错 正版 喜欢,pos,"[(0, 0.041881993), (1, 0.0424898), (2, 0.79004824), (3, 0.041754812), (4, 0.042031564), (5, 0.041793603)]",2
我觉得相当不错，我儿子也这样认为,不错 儿子,pos,"[(0, 0.05573642), (1, 0.05562556), (2, 0.7216624), (3, 0.055687185), (4, 0.055691596), (5, 0.055596836)]",2
东西很好，书的内容也合适，后面好好看看吧,东西 内容 合适 好好,pos,"[(0, 0.832159), (1, 0.03356409), (2, 0.033792462), (3, 0.033484824), (4, 0.0335166), (5, 0.033483088)]",0
书收到了，不错，挺好的，很喜欢，真的期待自己学会了！,收到 不错 喜欢 真的 期待 学会,pos,"[(0, 0.024034254), (1, 0.63167256), (2, 0.272276), (3, 0.023999536), (4, 0.024131805), (5, 0.02388578)]",1
从整体上非常适合入门，所以推荐一下大家都读读，真不错,整体 非常适合 入门 推荐 读读 真不错,pos,"[(0, 0.8802006), (1, 0.023935668), (2, 0.023928782), (3, 0.02396519), (4, 0.024068778), (5, 0.023900922)]",0
不错，很实用，作为工具书不错，值得购买。,不错 实用 工具书 不错 值得 购买,pos,"[(0, 0.5434635), (1, 0.36037406), (2, 0.024204787), (3, 0.024133556), (4, 0.023918016), (5, 0.023905998)]",0
京东买书速度很快！书是正品，100-30,京东 速度 很快 正品,pos,"[(0, 0.033845354), (1, 0.033668343), (2, 0.83149326), (3, 0.0334405), (4, 0.03365461), (5, 0.033897925)]",2
很喜欢，内容不错,喜欢 内容 不错,pos,"[(0, 0.3236281), (1, 0.042197585), (2, 0.50837165), (3, 0.04179369), (4, 0.042251315), (5, 0.041757625)]",2
非常合适的一本书，值得反复观看，挺好的！,合适 本书 值得 反复 观看,pos,"[(0, 0.51912713), (1, 0.02788508), (2, 0.027968837), (3, 0.027817257), (4, 0.028059604), (5, 0.3691421)]",0
非常不错，物美廉价，充实自己。京东就是好，特别好，不是一般的好。其实就是非常好。,不错 物美 廉价 充实 京东 特别,pos,"[(0, 0.87973857), (1, 0.023861494), (2, 0.02420001), (3, 0.023924122), (4, 0.024408994), (5, 0.023866806)]",0
东西很不错，京东商城值得信赖,东西 不错 京东 商城 值得 信赖,pos,"[(0, 0.88016486), (1, 0.023906266), (2, 0.024162972), (3, 0.023985064), (4, 0.02390673), (5, 0.023874084)]",0
一如既往好，物美价廉，速度快，非常满意，买过好多次了,一如既往 物美价廉 速度 满意,pos,"[(0, 0.033621468), (1, 0.4346011), (2, 0.03353109), (3, 0.03338117), (4, 0.26009148), (5, 0.20477368)]",1
挺好的一本教材，很实用，案例代码均有，也比较易懂，不错,一本 教材 实用 案例 代码 易懂 不错,pos,"[(0, 0.27981287), (1, 0.49784517), (2, 0.020993741), (3, 0.02094412), (4, 0.020896778), (5, 0.15950732)]",1
查询起来很方便，内容涵盖很广，很多想要的都有写,查询 内容 涵盖 想要,pos,"[(0, 0.833074), (1, 0.03351318), (2, 0.03336458), (3, 0.033340942), (4, 0.03334803), (5, 0.033359297)]",0
非常喜欢这个,喜欢,pos,"[(0, 0.0835563), (1, 0.08356939), (2, 0.084127575), (3, 0.08343853), (4, 0.5818378), (5, 0.083470464)]",4
不错，令人满意，值得购买，物超所值。,不错 令人满意 值得 购买 物超所值,pos,"[(0, 0.86071575), (1, 0.027829753), (2, 0.02796031), (3, 0.02783715), (4, 0.027844762), (5, 0.027812287)]",0
还挺好，物流也很快，很满意。,物流 很快 满意,pos,"[(0, 0.042206403), (1, 0.042061973), (2, 0.04183645), (3, 0.041748393), (4, 0.041765604), (5, 0.7903812)]",5
书很不错，值得一看！是全新的,不错 值得一看 全新,pos,"[(0, 0.042036004), (1, 0.042799767), (2, 0.78939784), (3, 0.041752618), (4, 0.042315472), (5, 0.041698318)]",2
小马哥出品必属精品，真的非常不错。,小马哥 出品 精品 真的 不错,pos,"[(0, 0.86041045), (1, 0.027915405), (2, 0.028060745), (3, 0.027886841), (4, 0.02789209), (5, 0.027834443)]",0
非常好的一本书，包装设计风格简约大气上档次，值得拥有,本书 包装 设计 风格 简约 大气 上档次 值得 拥有,pos,"[(0, 0.4472154), (1, 0.016933484), (2, 0.016767837), (3, 0.016697994), (4, 0.016765052), (5, 0.4856202)]",5
书的质量非常好，是正版！,质量 正版,pos,"[(0, 0.05594989), (1, 0.72126275), (2, 0.055843014), (3, 0.05561784), (4, 0.055693228), (5, 0.055633254)]",1
很实用，适合我这种小白。希望能学会,实用 适合 小白 希望 学会,pos,"[(0, 0.028039094), (1, 0.8604349), (2, 0.027904963), (3, 0.027802708), (4, 0.027996227), (5, 0.027822122)]",1
物流很快，还没看,物流 很快 没看,pos,"[(0, 0.042274334), (1, 0.4727643), (2, 0.041850172), (3, 0.041731574), (4, 0.041806318), (5, 0.3595733)]",1
很赞，很赞。包装不错，物流也快,包装 不错 物流,pos,"[(0, 0.7902729), (1, 0.041820582), (2, 0.04210471), (3, 0.041802175), (4, 0.04185764), (5, 0.04214199)]",0
正版图书，适合小朋友，形式活泼，物流也很快，京东是买书神器，如果能开展图书交流就好了,正版 图书 适合 小朋友 形式 活泼 物流 很快 京东 神器 图书 交流,pos,"[(0, 0.9356189), (1, 0.01294), (2, 0.0128752235), (3, 0.012833639), (4, 0.012847116), (5, 0.012885183)]",0
图书质量好 非常满意,图书 质量 满意,pos,"[(0, 0.7904814), (1, 0.042196684), (2, 0.041818496), (3, 0.04174536), (4, 0.04174051), (5, 0.04201756)]",0
产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们喜欢的不要犹豫，可以果断下手，一定不会让你失望,产品包装 精致 美观 大气 不错 真实 评价 希望 集美 喜欢 犹豫 果断 下手 失望,pos,"[(0, 0.011166715), (1, 0.6124865), (2, 0.011182217), (3, 0.011131393), (4, 0.34287506), (5, 0.01115814)]",1
很厚的一本书，纸张的质量还是不错的，零基础，就安装软件这里就有点蒙查查，，后面找我儿子的编程老师帮忙，下载了一个，下载了一个。。都不是最新版，一边看一边学习一边实操，希望有用,很厚 本书 纸张 质量 不错 基础 安装 软件 查查 儿子 编程 老师 帮忙 下载 下载 最新版 学习 实操 希望 有用,pos,"[(0, 0.12869641), (1, 0.55573267), (2, 0.29166573)]",1
不错的工具书，经典之作,不错 工具书 经典之作,pos,"[(0, 0.04190177), (1, 0.041868728), (2, 0.0422246), (3, 0.7904135), (4, 0.04184497), (5, 0.041746467)]",3
书的内容不错，开始学习中...,内容 不错 学习,pos,"[(0, 0.79022187), (1, 0.041977033), (2, 0.042327147), (3, 0.041799136), (4, 0.04191703), (5, 0.04175776)]",0
买了好多好多好多好多东西，买了书。不错。,好多好多 好多好多 东西 不错,pos,"[(0, 0.033679657), (1, 0.8314917), (2, 0.034223255), (3, 0.033605926), (4, 0.033569407), (5, 0.03343)]",1
看了一段时间才来评价。书不错，20197月第一版，2019年10月第二次印刷。我就喜欢这种印了又印的，选择起来省心。群众的眼睛是雪亮的嘛。送货一如既往的快，京东小哥一如既往的帅。这个书不是机器学习的入门书，如果刚接触机器学习，暂时不要买这本书，先买一本入门书看。如果已经入门，正在实践，已经熟悉了机器学习的理论，书中的代码可以给你很大的启发。,一段时间 评价 不错 第一版 第二次 印刷 喜欢 选择 省心 群众 眼睛 雪亮 送货 一如既往 京东 小哥 一如既往 机器 学习 入门 接触 机器 学习 暂时 本书 先买 一本 入门 入门 实践 熟悉 机器 学习 理论 代码 很大 启发,pos,"[(0, 0.25357404), (1, 0.18453926), (2, 0.2723625), (4, 0.2807037)]",4
虽然买过很多的基础教程，但这本书还是忍不住买下来学习。因为这本书虽然基础但不致于抄网上文档，虽说是轻松学，但项目实践部分却很接地气，有趣，可以真正做到学而时习之，从理论中来到实践中去，体现实践是检验真理的唯一标准这一哲学命题，让读者清楚自已的水平，发现知识薄弱环节，逐渐提升水平，我推荐这本新书！,基础教程 本书 忍不住 买下来 学习 本书 基础 不致于 网上 文档 轻松 项目 实践 接地 有趣 而时 习之 理论 来到 实践 体现 实践 检验 真理 唯一标准 哲学 命题 读者 自已 水平 发现 知识 薄弱环节 提升 水平 推荐 这本 新书,pos,"[(0, 0.09262098), (2, 0.4165652), (4, 0.08058332), (5, 0.40162927)]",2
买了很多介绍的书籍，这本算是比较好的一本，没有太多的理论和繁复的设置，直接进入应用场景，给出问题的答案。祝京东越办越好。,介绍 书籍 这本 算是 一本 理论 繁复 设置 场景 给出 答案 京东 越好,pos,"[(0, 0.011964774), (1, 0.012007624), (2, 0.21541905), (3, 0.011928026), (4, 0.73666924), (5, 0.012011288)]",4
在京东购买的极简讲义一本书入门数据分析与机器学习，作者张玉宏，本书语言通俗易懂，实战案例比较丰富，理论与实践结合好，比较适合新手入门,京东 购买 讲义 本书 入门 数据分析 机器 学习 作者 张玉宏 本书 语言 通俗易懂 实战 案例 理论 实践 适合 新手入门,pos,"[(1, 0.8471338), (2, 0.1192907)]",1
这本书跟不错，买来学习学习,本书 不错 买来 学习 学习,pos,"[(0, 0.028087828), (1, 0.027926715), (2, 0.8602931), (3, 0.027803887), (4, 0.028062731), (5, 0.027825737)]",2
图书不错，包装精美，没有磕碰，本书还没开始阅读应该是一本雅俗共享的好书，适合大家收藏阅读，实乃居家必备，好好阅读的有趣的书,图书 不错 包装 精美 磕碰 本书 阅读 一本 雅俗 共享 好书 适合 收藏 阅读 实乃 居家 必备 好好 阅读 有趣,pos,"[(0, 0.7791748), (2, 0.13760889), (5, 0.059270956)]",0
大咖的书，值得细读。,咖的 值得 细读,pos,"[(0, 0.79155403), (1, 0.04168826), (2, 0.041700214), (3, 0.04167982), (4, 0.04168144), (5, 0.041696217)]",0
感谢两位作者能继续出第二版，感谢第一版的启蒙。,感谢 两位 作者 感谢 第一版 启蒙,pos,"[(0, 0.023837842), (1, 0.8808466), (2, 0.023818947), (3, 0.023811985), (4, 0.023870453), (5, 0.023814129)]",1
两版都有，第二版总体不错，细节还有待提高，代码印刷不明显。部分代码存在一些小错。不过瑕不掩瑜。,总体 不错 细节 提高 代码 印刷 代码 小错 瑕不掩瑜,pos,"[(0, 0.2419717), (1, 0.6910315), (2, 0.016812624), (3, 0.016754195), (4, 0.016724456), (5, 0.01670548)]",1
好评！！！趁着有活动秒了一本！👍,好评 活动 一本,pos,"[(0, 0.041842945), (1, 0.79091144), (2, 0.041865308), (3, 0.041672055), (4, 0.04201689), (5, 0.041691333)]",1
书挺厚的😝而且内容都是实打实的，适合有一定的基础的人去学👍🏻👍🏻,挺厚 内容 实打实 适合 基础,pos,"[(0, 0.8607909), (1, 0.027857272), (2, 0.027927397), (3, 0.027800478), (4, 0.027837966), (5, 0.027785953)]",0
书收到了，还行吧，比其他平台贵，但是速度快，想着疫情被封在公司 可以靠它来打发时间的。新书刚收到有点味，纸张厚度适中，还行。,收到 还行 平台 速度 想着 疫情 公司 打发 时间 新书 收到 纸张 厚度 适中,pos,"[(0, 0.8486371), (1, 0.011179324), (2, 0.10661166), (3, 0.0112058045), (4, 0.011174567), (5, 0.011191552)]",0
内容不错，比较有深度。,内容 不错 深度,pos,"[(0, 0.24469927), (1, 0.04225683), (2, 0.5876451), (3, 0.041757166), (4, 0.041818805), (5, 0.04182282)]",2
入门佳作，值得拥有！,入门 佳作 值得 拥有,pos,"[(0, 0.8331487), (1, 0.0333908), (2, 0.03337577), (3, 0.033362605), (4, 0.03333934), (5, 0.033382762)]",0
不错，里面就是很多案例，不适合初学者，适合有点基础的,不错 案例 适合 初学者 适合 基础,pos,"[(0, 0.8804633), (1, 0.023909628), (2, 0.02403069), (3, 0.023850905), (4, 0.023921743), (5, 0.023823692)]",0
书重量不错，送货快包装完好无破损,重量 不错 送货 包装 完好 破损,pos,"[(0, 0.024132593), (1, 0.024046792), (2, 0.43503764), (3, 0.023934342), (4, 0.4689635), (5, 0.023885177)]",4
看着不错不知道怎么样，看了以后再评,看着 不错,pos,"[(0, 0.055756323), (1, 0.055632014), (2, 0.7212311), (3, 0.055723358), (4, 0.056006994), (5, 0.05565026)]",2
老公购买这本书，这几天在看，不错,老公 购买 本书 几天 不错,pos,"[(0, 0.028578138), (1, 0.028027602), (2, 0.028216043), (3, 0.027874699), (4, 0.8594709), (5, 0.027832562)]",4
正版书籍，邮寄速度快。,正版 书籍 邮寄 速度,pos,"[(0, 0.033706278), (1, 0.83149534), (2, 0.033591285), (3, 0.03337112), (4, 0.033628825), (5, 0.03420717)]",1
一站式购齐，不错哈！！！加油吧！,一站式 购齐 不错 加油,pos,"[(0, 0.8327888), (1, 0.033473864), (2, 0.03354942), (3, 0.033411775), (4, 0.03341437), (5, 0.033361763)]",0
学习了有一段时间了，内容精炼，比较容易接受，书的纸质质量挺好，还附带有视频教学内容老师讲的比较全面，重点划分的讲解到位。,学习 了有 一段时间 内容 精炼 容易接受 纸质 质量 附带 视频 教学内容 老师 重点 划分 讲解 到位,pos,"[(0, 0.5924439), (1, 0.3681982)]",0
内容不错，买来有时间可以学习下，有用,内容 不错 买来 时间 学习 有用,pos,"[(0, 0.02427647), (1, 0.024149338), (2, 0.87991834), (3, 0.023856571), (4, 0.023931531), (5, 0.023867764)]",2
一直要买的一本书之一，看了很久，终于买到手，心情比较激动。做网络运维十余年，经历早起的手把手单台运维，到用等平台统一管理统一运维，时代在发展，客户要求更方便快捷的自动化运维,要买 本书 很久 终于 到手 心情 激动 网络 运维 十余年 经历 早起 手把手 单台 运维 平台 统一 管理 统一 运维 时代 发展 客户 方便快捷 自动化 运维,pos,"[(0, 0.8863268), (2, 0.041005537), (4, 0.054127965)]",0
很不错的书籍 添加了很多项目操作 有具体的代码 语言也很通俗易懂 代码也有链接 给出了很不错的学习方向 适用于很多人,不错 书籍 添加 项目 操作 代码 语言 通俗易懂 代码 链接 给出 不错 学习 方向,pos,"[(0, 0.011264196), (1, 0.22456256), (2, 0.011240115), (3, 0.23241284), (4, 0.3639003), (5, 0.15661998)]",4
书可以，质量也不错，看着较舒服,质量 不错 看着 舒服,pos,"[(0, 0.033591233), (1, 0.03360792), (2, 0.832243), (3, 0.03345874), (4, 0.033599585), (5, 0.033499494)]",2
不错，书质量挺好的。认真学习中。,不错 质量 认真学习,pos,"[(0, 0.042083073), (1, 0.04204612), (2, 0.790496), (3, 0.04178998), (4, 0.0418614), (5, 0.04172345)]",2
送货速度快，包装不错。纸张偏黄，字体清晰。书中有很多黑色截图，不太环保。其实最重要的是要内容好，读了能有收获。这个要看完才能评价。,送货 速度 包装 不错 纸张 偏黄 字体 清晰 黑色 截图 环保 内容 收获 评价,pos,"[(0, 0.388387), (1, 0.011203363), (2, 0.0111994995), (3, 0.23814714), (4, 0.33988625), (5, 0.011176733)]",0
这个商品质量不错，下次还来买呀,商品质量 不错 下次,pos,"[(0, 0.042122517), (1, 0.7894213), (2, 0.042682324), (3, 0.041997284), (4, 0.042009305), (5, 0.041767225)]",1
排版合理，表述清晰，适合白领,排版 表述 清晰 适合 白领,pos,"[(0, 0.028024843), (1, 0.02801666), (2, 0.8602497), (3, 0.027899582), (4, 0.027944872), (5, 0.027864328)]",2
感觉不错，知识很全，但专注于应用层面，没讲太复杂的数学原理，适合入门，买来专程学习机器学习，谋求转行，老干些无趣的工作没意思，学习令我充实,感觉 不错 知识 专注 层面 没讲 数学原理 适合 入门 买来 专程 学习 机器 学习 谋求 转行 无趣 工作 没意思 学习 充实,pos,"[(0, 0.35717162), (4, 0.61239195)]",4
不错的书，对于想要研究网络自动化的人来说，适合从0入门,不错 想要 研究 网络 自动化 适合 入门,pos,"[(0, 0.895536), (1, 0.020911666), (2, 0.020932572), (3, 0.020871852), (4, 0.020898728), (5, 0.020849157)]",0
刚拿到书，还没来得及仔细阅读。不过总体上来看，书的印刷质量还不错，内容也很精炼，不过有些基础理论知识需要自己网上查阅一下。,拿到 仔细阅读 总体 印刷 质量 不错 内容 精炼 基础理论 知识 网上 查阅,pos,"[(0, 0.93556285), (1, 0.012936573), (2, 0.012913145), (3, 0.012843015), (4, 0.0128774), (5, 0.012867057)]",0
书有270多页，是利用实现网络运行维护方面的一本比较有特点的好书，是在网络方面的一个应用，说是为网络工程师服务的，实际上想提高网络知识水平的都可读之,多页 利用 网络 运行 维护 一本 好书 网络 网络 工程师 服务 实际上 提高 网络 知识 水平 可读,pos,"[(0, 0.7971651), (1, 0.099154316), (4, 0.07575074)]",0
收到货很久了，但是一直没有拆开，包装的还不错，而且这次没有破损，以前买绘本，总是要有一定损坏的！京东买书比某当好，快递送到家，不用去自提点取，真重！,收到 拆开 包装 不错 破损 买绘 损坏 京东 买书 当好 快递 送到 不用 提点取,pos,"[(0, 0.011266293), (1, 0.011157122), (2, 0.011199212), (3, 0.2879983), (4, 0.6672272), (5, 0.011151899)]",4
书的内容还不错，作者比较用心，不足是这么贵的书，纸的质量不好，和价格不匹配,内容 不错 作者 用心 质量 不好 价格 匹配,pos,"[(0, 0.01872485), (1, 0.25929064), (2, 0.01869832), (3, 0.018592948), (4, 0.6661442), (5, 0.018549034)]",4
知乎大佬奕心出品，业界精英！出的书十分适合网工入门！循序渐进入门，师傅领进门，修行在个人！期待了半年终于买到了！,知乎 大佬 奕心 出品 业界 精英 适合 网工 入门 循序渐进 入门 师傅领进门 修行在个人 期待 半年 终于 买到,pos,"[(0, 0.41131157), (1, 0.2035715), (4, 0.35729373)]",0
不错的图书，一下买了五本书，慢慢看,不错 图书 本书 慢慢,pos,"[(0, 0.41099596), (1, 0.033448517), (2, 0.033695582), (3, 0.033423945), (4, 0.45493186), (5, 0.033504177)]",4
整体印刷质量还是可以的，书挺厚的五百多页将近六百页，足够看一阵子了。书大致可分为三部分，基础语法，可视化部分，机器学习部分。内容介绍比较全面，可以当做入门教材来使用。书中附有代码比较方便练习，京东自营，物流送货速度快。值得购买。,整体 印刷 质量 挺厚 五百多 六百 足够 一阵子 分为 基础 语法 可视化 机器 学习 内容 介绍 当做 入门 教材 附有 代码 京东 自营 物流 送货 速度 值得 购买,pos,"[(0, 0.9244661), (1, 0.052415628)]",0
书编写的不错，值得购买学习,编写 不错 值得 购买 学习,pos,"[(0, 0.6681808), (1, 0.027883861), (2, 0.028126797), (3, 0.027842611), (4, 0.027903268), (5, 0.22006267)]",0
讲述简单，通俗易懂，值得学习。,讲述 简单 通俗易懂 值得 学习,pos,"[(0, 0.8600796), (1, 0.028085355), (2, 0.027956255), (3, 0.027911285), (4, 0.027919857), (5, 0.02804769)]",0
书册质量好，设计美观。内容全面，框架鲜明。条理清晰，章节要点明确。,书册 质量 设计 美观 内容 框架 鲜明 条理清晰 章节 要点,pos,"[(0, 0.015307731), (1, 0.21975657), (2, 0.015207281), (3, 0.01516882), (4, 0.0151956845), (5, 0.71936387)]",5
好评，好好学习😊,好评 好好学习,pos,"[(0, 0.05575627), (1, 0.7215631), (2, 0.0555771), (3, 0.055561084), (4, 0.05598571), (5, 0.055556737)]",1
还不错，有优惠，物流给力！！！,不错 优惠 物流,pos,"[(0, 0.042076454), (1, 0.042282734), (2, 0.5476115), (3, 0.04190967), (4, 0.04183671), (5, 0.28428298)]",2
不错哦，京东商城物流给力@,不错 京东 商城 物流,pos,"[(0, 0.831976), (1, 0.033450417), (2, 0.03381686), (3, 0.033614077), (4, 0.033507146), (5, 0.033635493)]",0
对于比较笨的成人也比较适合阅读，入门会更快也形象。,成人 适合 阅读 入门 更快 形象,pos,"[(0, 0.8807663), (1, 0.02384837), (2, 0.023857588), (3, 0.023828246), (4, 0.023883944), (5, 0.023815585)]",0
货收到了，挺快，质量挺好，一次成功购物，抓紧时间阅读。,收到 挺快 质量 成功 购物 抓紧时间 阅读,pos,"[(0, 0.34699628), (1, 0.22994117), (2, 0.020963797), (3, 0.020918159), (4, 0.021075534), (5, 0.3601051)]",5
疫情期间，好好学习，内容不错。,疫情 期间 好好学习 内容 不错,pos,"[(0, 0.028135123), (1, 0.5049625), (2, 0.028079761), (3, 0.027877009), (4, 0.38312533), (5, 0.027820257)]",1
循序渐进，简单易懂，适合初学者,循序渐进 简单 易懂 适合 初学者,pos,"[(0, 0.5466607), (1, 0.027841138), (2, 0.027863324), (3, 0.027857102), (4, 0.027926084), (5, 0.3418516)]",0
内容不错。适合初学者。。,内容 不错 适合 初学者,pos,"[(0, 0.83260906), (1, 0.03349284), (2, 0.033613805), (3, 0.03341459), (4, 0.03350559), (5, 0.0333641)]",0
书本内容：图灵的书基本上都是精品，这本书主要是使用进行机器学习，适用于对机器学习有一定基础的人员，准确来说更加适用于机器学习的开发人员，内容还是非常详实的；书本价格：实话有些高，不搞活动的话，还是不建议买，因为这本书不属于那种纯工具书。,书本 内容 图灵 精品 本书 机器 学习 机器 学习 基础 人员 准确 机器 学习 开发人员 内容 详实 书本 价格 实话 活动 建议 本书 那种 工具书,pos,"[(1, 0.74368656), (2, 0.18751143), (3, 0.04944762)]",1
质量不错，内容充实，好评,质量 不错 内容 充实 好评,pos,"[(0, 0.8603332), (1, 0.028074015), (2, 0.027959473), (3, 0.02783995), (4, 0.027990961), (5, 0.027802348)]",0
1、京东官方购买的书籍，质量可靠，质量及邮寄中如果出了问题，是可以得到解决的。相信并且信任京东品牌。2、列宁曾经说过：书籍是巨大的力量！ 高尔基：书籍是青年人不可分离的生命伴侣和导师。每一本书都是一个用黑字印在白纸上的灵魂，只要我的眼睛、我的理智接触了它，它就活起来了。3、零基础学习这本书将当代的人类智慧汇集起来，给后人点亮了路途中的黑暗，给人指明了前进的方向！4、还会再次购买京东的书籍！,京东 官方 购买 书籍 质量 可靠 质量 邮寄 解决 信任 京东 品牌 列宁 书籍 力量 高尔基 书籍 青年人 分离 生命 伴侣 导师 每一 本书 黑字 白纸 灵魂 眼睛 理智 接触 基础 学习 本书 当代 人类 智慧 汇集 后人 点亮 路途 黑暗 指明 方向 购买 京东 书籍,pos,"[(0, 0.14373685), (4, 0.84201986)]",4
价格优惠，又快又好！,价格 优惠 又快又好,pos,"[(0, 0.041690808), (1, 0.7911571), (2, 0.04189208), (3, 0.041799493), (4, 0.04175197), (5, 0.041708548)]",1
一本不错的书籍，还做活动。,一本 不错 书籍 活动,pos,"[(0, 0.03367998), (1, 0.8316068), (2, 0.03407288), (3, 0.03352229), (4, 0.03371354), (5, 0.033404447)]",1
个人感觉不错，读起来比较好理解，最近处理数据，对于列表和字典元祖这些类型数据处理时候总有错误，买这本书，再复看一下基础，预计一周啃完，一周后再来追评,个人感觉 不错 理解 数据 列表 字典 元祖 类型 数据处理 错误 本书 再复 基础 预计 一周 一周 再来 追评,pos,"[(0, 0.13039804), (2, 0.28422973), (4, 0.5590119)]",4
是一种跨平台的计算机程序设计语言，越多被用于独立的、大型项目的开发，因此学习一下很有必要。这本《零基础轻松学》内容比较浅显，作为入门学习还是可以的。书本的色差比较大，图片是蓝色的，实际偏重深蓝色。,一种 跨平台 计算机 程序设计 语言 越多 用于 独立 大型项目 开发 学习 这本 基础 轻松 内容 浅显 入门 学习 书本 色差 图片 蓝色 偏重 深蓝色,pos,"[(0, 0.693092), (4, 0.06322642), (5, 0.22355819)]",0
买了一堆书，有大人看的孩子看的，是正品，出不去的日子还有书和远方,一堆 大人 孩子 正品 出不去 日子 远方,pos,"[(0, 0.020852437), (1, 0.021168862), (2, 0.021049138), (3, 0.7488548), (4, 0.1672284), (5, 0.020846313)]",3
店家服务周到，书籍不错,店家 服务周到 书籍 不错,pos,"[(0, 0.03364672), (1, 0.83183646), (2, 0.03398145), (3, 0.033523027), (4, 0.0336199), (5, 0.03339245)]",1
讲解的比较仔细，有案例有程序，手把手教学方式。不过整体上比较简练，讲解的不多，主要是随着案例练习，跟着操作一遍也就能理解了。适合新手上手。简单易懂。当然案例也都是比较简单的。自学用书，不用老师带着学没有问题。,讲解 仔细 案例 程序 手把手 教学方式 整体 简练 讲解 不多 案例 跟着 操作 一遍 理解 适合 手上 简单 易懂 案例 比较简单 自学 用书 不用 老师,pos,"[(0, 0.6977179), (2, 0.21477565), (5, 0.068177134)]",0
终于收到小码哥的书了，包装完好，可以学习起来了！,终于 收到 码哥 包装 完好 学习,pos,"[(0, 0.55715036), (1, 0.024081586), (2, 0.023936154), (3, 0.023889512), (4, 0.34708837), (5, 0.023854034)]",0
很惭愧书买了到现在还没有正式开始学习，就放在那里翻了翻，之前在图书馆看过这本书觉得还不错才买回来，辅助学习用的，也算半个工具书吧，书这个东西还要舍得花钱，而且也不一定要通篇看完，而是需要的时候能辅助我们得到想知道的知识，就算有价值了。加油(ง &;̀_&;́)ง,惭愧 正式 学习 放在 图书馆 看过 本书 不错 买回来 辅助 学习 半个 工具书 东西 舍得 花钱 通篇 辅助 知识 价值 加油,pos,"[(0, 0.12604818), (1, 0.73618704), (3, 0.114896275)]",1
还是不错的应该如此吧,不错,pos,"[(0, 0.083979376), (1, 0.08357626), (2, 0.58136016), (3, 0.083796464), (4, 0.0838146), (5, 0.08347313)]",2
印刷质量好。内容贴近现实工作,印刷 质量 内容 贴近 现实 工作,pos,"[(0, 0.44177774), (1, 0.024068052), (2, 0.46253282), (3, 0.02389639), (4, 0.023896137), (5, 0.023828864)]",2
